epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,989.59,0.37279,0.49218,0.94914,0.80171,0.78553,0.80669,0.63726,1.23933,1.07427,1.60898,5.7824e-05,5.7824e-05,5.7824e-05
42,1011.89,0.35862,0.45106,0.93755,0.81356,0.7949,0.81886,0.63948,1.28536,1.06465,1.64927,5.23196e-05,5.23196e-05,5.23196e-05
43,1035.74,0.34654,0.43185,0.9356,0.83772,0.79485,0.8329,0.65359,1.26608,1.10165,1.6421,4.68152e-05,4.68152e-05,4.68152e-05
44,1059.93,0.34754,0.4165,0.93005,0.83987,0.80766,0.82539,0.64688,1.2732,1.12546,1.65319,4.13108e-05,4.13108e-05,4.13108e-05
45,1083.43,0.34088,0.40702,0.92593,0.86972,0.77054,0.8285,0.65848,1.25024,1.10714,1.63624,3.58064e-05,3.58064e-05,3.58064e-05
46,1106.36,0.3438,0.39807,0.9298,0.8634,0.77049,0.81898,0.65774,1.26428,1.11745,1.66596,3.0302e-05,3.0302e-05,3.0302e-05
47,1129.06,0.33394,0.39655,0.92259,0.82588,0.79725,0.82445,0.66192,1.24,1.07356,1.64581,2.47976e-05,2.47976e-05,2.47976e-05
48,1150.78,0.33326,0.38533,0.92507,0.84558,0.78803,0.82959,0.66055,1.26151,1.12914,1.65568,1.92932e-05,1.92932e-05,1.92932e-05
49,1172.62,0.33316,0.3761,0.92072,0.83995,0.75814,0.82295,0.65282,1.25451,1.10995,1.64491,1.37888e-05,1.37888e-05,1.37888e-05
50,1194.57,0.3297,0.37205,0.91606,0.86228,0.7451,0.82046,0.65398,1.25194,1.11718,1.6467,8.2844e-06,8.2844e-06,8.2844e-06
